ID,Angle,Ra[hh],Ra[mm],Ra[ss],Dec[deg],Dec[mm],Dec[ss],Ra[deg],Dec[deg],X,Y,x[west],x[east],azimuth_start_at_kiso,elevation_start_at_kiso,range_start_at_kiso,azimuth_end_at_kiso,elevation_end_at_kiso,range_end_at_kiso,az_telescope,alt_telescope,exposure_starting_time_tomoe,az_meteor,el_meteor
578011_016,165.5,10,25,29.9816,-9,40,12.629000000000001,156.3749233,-9.670174722,156,225,145.0,168.0,233.450589,29.448942,198454.6041,232.35963999999998,27.58343,200533.5851,231.3,27.93,2018-04-18T14:30:46.301686,233.04065213227966,27.965186473269494
578011_017,165.5,10,25,43.4183,-9,28,10.179,156.43090959999998,-9.469494167,197,73,180.0,210.0,233.450589,29.448942,198454.6041,232.35963999999998,27.58343,200533.5851,231.3,27.93,2018-04-18T14:30:46.301686,232.99338979982636,28.00146063358624
578012_016,165.0,10,26,25.8624,-8,49,24.843000000000004,156.60776,-8.823567500000001,329,191,310.0,350.0,233.450589,29.448942,198454.6041,232.35963999999998,27.58343,200533.5851,231.3,27.93,2018-04-18T14:30:46.301686,233.59120656863388,28.86993687755185
578021_073,151.0,10,22,20.5463,-9,33,55.8,155.5856096,-9.5655,384,147,330.0,440.0,233.405548,28.175124,195438.762,233.065711,26.48328,198352.8477,231.3,27.93,2018-04-18T14:30:46.301686,233.70294723649937,27.45140491095382
578114_038,102.5,10,25,53.4817,-7,8,12.969000000000001,156.4728404,-7.136935833,226,128,80.0,342.0,233.839094,29.970435,195300.4549,235.509698,27.886321000000002,202131.61899999998,231.5,27.76,2018-04-18T14:31:49.177389,234.68833794092902,29.356834636544445
578141_037,77.5,10,13,0.6967,-9,26,51.793,153.2529029,-9.447720278,279,70,100.0,370.0,233.839094,29.970435,195300.4549,235.509698,27.886321000000002,202131.61899999998,231.5,27.76,2018-04-18T14:31:49.177389,235.829634019358,25.731555659157525
578812_050,56.5,10,32,58.2328,-8,42,23.45,158.2426367,-8.706513889,330,103,228.0,446.0,232.342316,27.670577,201509.4774,234.671463,26.076206,199014.9264,231.7,27.6,2018-04-18T14:39:22.177456,234.03255729058964,28.5288741624718
578823_051,56.5,10,28,24.8586,-7,57,20.659000000000002,157.1035775,-7.955738611,295,143,183.0,372.0,232.342316,27.670577,201509.4774,234.671463,26.076206,199014.9264,231.7,27.6,2018-04-18T14:39:22.177456,235.74929267668688,28.516158075333152
578833_049,96.5,10,24,9.9394,-7,54,5.5120000000000005,156.0414142,-7.901531111000001,316,108,166.0,443.0,232.342316,27.670577,201509.4774,234.671463,26.076206,199014.9264,231.7,27.6,2018-04-18T14:39:22.177456,236.6271916978613,27.800351298684525
578843_050,96.5,10,19,35.9486,-8,1,2.971,154.8997858,-8.017491944,280,200,127.0,367.0,232.342316,27.670577,201509.4774,234.671463,26.076206,199014.9264,231.7,27.6,2018-04-18T14:39:22.177456,236.78664683784618,26.29671909459965
